label	C1	C2	H2
X322b	21.75	16.119	0.746
X323	24.801	21.75	0.407
X323b	21.75	24.801	0.768
X324	22.68	21.75	0.407
X324b	21.75	22.68	0.501
X325	24.913	21.75	0.407
X325b	21.75	24.913	0.632
X326	11.691	21.75	0.407
X326b	21.75	11.691	0.901
X327	21.345	23.7	0.743
X327b	23.7	21.345	0.734
X328	18.759	23.7	0.743
X328b	23.7	18.759	0.541
X329	16.119	23.7	0.743
X329b	23.7	16.119	0.746
X330	24.801	23.7	0.743
X330b	23.7	24.801	0.768
X331	22.68	23.7	0.743
X331b	23.7	22.68	0.501
X332	24.913	23.7	0.743
X332b	23.7	24.913	0.632
X333	11.691	23.7	0.743
X333b	23.7	11.691	0.901
X334	18.759	21.345	0.734
X334b	21.345	18.759	0.541
X335	22.68	21.345	0.734
X335b	21.345	22.68	0.501
X336	22.68	18.759	0.541
X336b	18.759	22.68	0.501
X337	19.366	19.42	0.703
X337b	19.42	19.366	0.205
X338	22.639	19.42	0.703
X338b	19.42	22.639	0.663
X339	22.639	19.366	0.205
X339b	19.366	22.639	0.663
X340	26.102	19.366	0.205
X340b	19.366	26.102	0.813
X341	10.616	19.366	0.205
X341b	19.366	10.616	0.562
X342	26.102	22.639	0.663
X342b	22.639	26.102	0.813
X343	16.119	22.639	0.663
X343b	22.639	16.119	0.746
X344	28.067	22.639	0.663
X344b	22.639	28.067	1.09
X345	22.536	22.639	0.663
X345b	22.639	22.536	0.904
X346	10.616	22.639	0.663
X346b	22.639	10.616	0.562
X347	25.413	22.639	0.663
X347b	22.639	25.413	0.876
X348	24.834	22.639	0.663
X348b	22.639	24.834	1.069
X349	24.913	22.639	0.663
X349b	22.639	24.913	0.632
X350	16.119	26.102	0.813
X350b	26.102	16.119	0.746
X351	28.067	26.102	0.813
X351b	26.102	28.067	1.09
X352	22.536	26.102	0.813
X352b	26.102	22.536	0.904
X353	10.616	26.102	0.813
X353b	26.102	10.616	0.562
X354	25.413	26.102	0.813
X354b	26.102	25.413	0.876
X355	24.834	26.102	0.813
X355b	26.102	24.834	1.069
X356	24.913	26.102	0.813
X356b	26.102	24.913	0.632
X357	22.68	16.119	0.746
X357b	16.119	22.68	0.501
X358	28.067	16.119	0.746
X358b	16.119	28.067	1.09
X359	22.536	16.119	0.746
X359b	16.119	22.536	0.904
X360	24.834	16.119	0.746
X360b	16.119	24.834	1.069
X361	22.68	24.801	0.768
X361b	24.801	22.68	0.501
X362	22.536	28.067	1.09
X362b	28.067	22.536	0.904
X363	25.413	28.067	1.09
X363b	28.067	25.413	0.876
X364	24.834	28.067	1.09
X364b	28.067	24.834	1.069
X365	25.413	22.536	0.904
X365b	22.536	25.413	0.876
X366	24.834	22.536	0.904
X366b	22.536	24.834	1.069
X367	24.913	22.536	0.904
X367b	22.536	24.913	0.632
X368	21.929	21.989	0.8
X368b	21.989	21.929	0.88
X369	21.754	21.989	0.8
X369b	21.989	21.754	0.68
X370	24.072	21.989	0.8
X370b	21.989	24.072	-0.499
X371	24.834	21.989	0.8
X371b	21.989	24.834	1.069
X372	13.073	21.989	0.8
X372b	21.989	13.073	0.572
X373	25.272	21.989	0.8
X373b	21.989	25.272	0.204
X374	22.249	21.989	0.8
X374b	21.989	22.249	0.625
X375	21.754	21.929	0.88
X375b	21.929	21.754	0.68
X376	24.072	21.929	0.88
X376b	21.929	24.072	-0.499
X377	24.834	21.929	0.88
X377b	21.929	24.834	1.069
X378	13.073	21.929	0.88
X378b	21.929	13.073	0.572
X379	25.272	21.929	0.88
X379b	21.929	25.272	0.204
X380	24.834	10.616	0.562
X380b	10.616	24.834	1.069
X381	24.913	10.616	0.562
X381b	10.616	24.913	0.632
X382	24.407	10.616	0.562
X382b	10.616	24.407	0.715
X383	12.365	10.616	0.562
X383b	10.616	12.365	0.664
X384	24.072	21.754	0.68
X384b	21.754	24.072	-0.499
X385	25.413	21.754	0.68
X385b	21.754	25.413	0.876
X386	24.834	21.754	0.68
X386b	21.754	24.834	1.069
X387	13.073	21.754	0.68
X387b	21.754	13.073	0.572
X388	25.272	21.754	0.68
X388b	21.754	25.272	0.204
X389	22.249	21.754	0.68
X389b	21.754	22.249	0.625
X390	13.073	24.072	-0.499
X390b	24.072	13.073	0.572
X391	25.272	24.072	-0.499
X391b	24.072	25.272	0.204
X392	22.249	24.072	-0.499
