label	C1	C2	H2	intensity
X136b	24.612	18.640	0.683	1.9336e-03
X137	27.191	24.612	0.903	2.2011e-02
X137b	24.612	27.191	0.971	2.2011e-02
X138	25.452	24.612	0.903	1.5739e-02
X138b	24.612	25.452	0.888	1.5739e-02
X139	24.348	24.612	0.903	4.0680e-02
X139b	24.612	24.348	0.989	4.0680e-02
X140	25.639	24.612	0.903	6.4727e-03
X140b	24.612	25.639	0.950	6.4727e-03
X141	24.877	24.612	0.903	7.4871e-04
X141b	24.612	24.877	0.826	7.4871e-04
X142	26.739	24.612	0.903	5.5274e-03
X142b	24.612	26.739	0.781	5.5274e-03
X143	22.528	24.612	0.903	2.6322e-03
X143b	24.612	22.528	0.738	2.6322e-03
X144	18.640	20.674	0.759	8.4310e-01
X144b	20.674	18.640	0.683	8.4310e-01
X145	22.292	20.318	0.852	7.0905e-01
X145b	20.318	22.292	0.988	7.0905e-01
X146	21.311	20.318	0.852	1.7613e-03
X146b	20.318	21.311	0.958	1.7613e-03
X147	22.218	20.318	0.852	1.9490e-02
X147b	20.318	22.218	0.857	1.9490e-02
X148	13.782	20.318	0.852	2.5423e-03
X148b	20.318	13.782	0.790	2.5423e-03
X149	21.292	20.318	0.852	1.7613e-03
X149b	20.318	21.292	0.980	1.3808e-03
X150	23.324	20.318	0.852	1.4492e-03
X150b	20.318	23.324	0.619	1.4492e-03
X151	22.218	22.292	0.988	1.4630e-03
X151b	22.292	22.218	0.857	1.4630e-03
X152	13.782	22.292	0.988	1.1145e-03
X152b	22.292	13.782	0.790	1.1145e-03
X153	22.218	21.311	0.958	5.8733e-01
X153b	21.311	22.218	0.857	5.8733e-01
X154	10.255	21.311	0.958	8.8381e-04
X154b	21.311	10.255	0.810	8.8381e-04
X155	21.292	21.311	0.958	4.5081e-02
X155b	21.311	21.292	0.980	4.5081e-02
X156	22.836	21.311	0.958	4.9860e-03
X156b	21.311	22.836	1.134	7.5147e-01
X157	25.082	21.311	0.958	1.9113e-03
X157b	21.311	25.082	0.761	5.2241e-03
X158	23.324	21.311	0.958	2.4560e-02
X158b	21.311	23.324	0.619	2.5135e-02
X159	13.782	22.218	0.857	2.3123e-03
X159b	22.218	13.782	0.790	2.3123e-03
X160	21.292	22.218	0.857	5.8733e-01
X160b	22.218	21.292	0.980	6.9843e-02
X161	22.836	22.218	0.857	7.5083e-03
X161b	22.218	22.836	1.134	7.5083e-03
X162	25.082	22.218	0.857	7.0971e-03
X162b	22.218	25.082	0.761	7.0971e-03
X163	23.324	22.218	0.857	1.0936e-01
X163b	22.218	23.324	0.619	1.0936e-01
X164	14.490	10.255	0.810	7.4288e-03
X164b	10.255	14.490	0.724	7.4288e-03
X165	21.446	14.490	0.724	1.8876e-03
X165b	14.490	21.446	0.835	1.8876e-03
X166	27.669	14.490	0.724	2.4231e-02
X166b	14.490	27.669	0.780	2.4231e-02
X167	26.534	25.348	0.578	6.8194e-01
X167b	25.348	26.534	0.593	6.8194e-01
X168	19.382	25.348	0.578	1.3400e-03
X168b	25.348	19.382	0.230	1.3400e-03
X169	17.697	25.348	0.578	2.3878e-03
X169b	25.348	17.697	-0.834	2.3878e-03
X170	21.619	25.348	0.578	2.3952e-03
X170b	25.348	21.619	0.737	2.3952e-03
X171	18.891	25.348	0.578	2.6263e-03
X171b	25.348	18.891	0.687	2.6263e-03
X172	24.923	25.348	0.578	2.9550e-03
X172b	25.348	24.923	1.134	2.9550e-03
X173	17.974	25.348	0.578	3.6896e-02
X173b	25.348	17.974	0.916	3.6896e-02
X174	21.619	26.534	0.593	3.3623e-03
X174b	26.534	21.619	0.737	3.3623e-03
X175	18.891	26.534	0.593	2.8701e-03
