label	C1	C2	H2	intensity
X164b	14.375	21.298	0.704	1.2434e-03
X165	25.338	22.576	0.071	9.8813e-01
X165b	22.576	25.338	-0.530	9.8813e-01
X166	21.298	22.576	0.071	4.2394e-03
X166b	22.576	21.298	0.704	4.2394e-03
X167	21.298	25.338	-0.530	2.4498e-03
X167b	25.338	21.298	0.704	2.4498e-03
X168	18.733	21.298	0.704	1.0299e-03
X168b	21.298	18.733	1.324	1.0299e-03
X169	22.489	25.303	0.327	9.6520e-01
X169b	25.303	22.489	0.466	9.6520e-01
