label	C1	C2	H2	intensity
X191	13.783	22.134	0.704	1.0712e-02
X191b	22.134	13.783	0.642	1.0712e-02
X192	22.679	22.134	0.704	2.8159e-03
X192b	22.134	22.679	0.881	2.8159e-03
X193	24.128	22.134	0.704	7.1747e-03
X193b	22.134	24.128	0.986	7.1747e-03
X194	22.798	22.134	0.704	1.0867e-03
X194b	22.134	22.798	0.951	9.4198e-02
X195	25.849	25.595	0.854	1.5853e-02
X195b	25.595	25.849	0.734	1.5853e-02
X196	23.182	25.595	0.854	3.4919e-03
X196b	25.595	23.182	0.723	3.4919e-03
X197	10.179	25.595	0.854	8.4577e-02
X197b	25.595	10.179	0.680	8.4577e-02
X198	13.783	25.595	0.854	4.7835e-02
X198b	25.595	13.783	0.642	1.1877e-02
X199	14.668	25.595	0.854	4.0917e-03
X199b	25.595	14.668	0.682	4.0917e-03
X200	27.750	25.595	0.854	3.7509e-03
X200b	25.595	27.750	0.830	3.7509e-03
X201	22.798	25.595	0.854	2.0576e-02
X201b	25.595	22.798	0.951	1.0493e-04
X202	23.543	22.973	0.952	1.0000e+00
X202b	22.973	23.543	0.627	1.0000e+00
X203	25.849	22.973	0.952	2.1706e-03
X203b	22.973	25.849	0.734	2.1706e-03
X204	23.182	22.973	0.952	9.7750e-03
X204b	22.973	23.182	0.723	9.7750e-03
X205	26.142	22.973	0.952	6.1564e-03
X205b	22.973	26.142	0.974	6.1564e-03
X206	23.376	22.973	0.952	1.1663e-03
X206b	22.973	23.376	0.940	1.1663e-03
X207	14.668	22.973	0.952	5.3378e-02
X207b	22.973	14.668	0.682	5.3378e-02
X208	23.182	23.543	0.627	1.8650e-03
X208b	23.543	23.182	0.723	1.8650e-03
X209	26.142	23.543	0.627	1.1952e-02
X209b	23.543	26.142	0.974	1.1952e-02
X210	23.376	23.543	0.627	1.4984e-03
X210b	23.543	23.376	0.940	1.4984e-03
X211	14.668	23.543	0.627	8.0463e-03
X211b	23.543	14.668	0.682	8.0463e-03
X212	23.182	25.849	0.734	9.9367e-01
X212b	25.849	23.182	0.723	9.9367e-01
X213	25.227	25.849	0.734	1.8333e-03
X213b	25.849	25.227	0.843	1.8333e-03
X214	24.822	25.849	0.734	5.4341e-03
X214b	25.849	24.822	0.912	5.4341e-03
X215	10.179	25.849	0.734	6.2872e-02
X215b	25.849	10.179	0.680	6.2872e-02
X216	13.783	25.849	0.734	6.9080e-02
X216b	25.849	13.783	0.642	2.1804e-03
X217	14.668	25.849	0.734	6.2813e-03
X217b	25.849	14.668	0.682	6.2813e-03
X218	27.750	25.849	0.734	1.8983e-03
X218b	25.849	27.750	0.830	1.8983e-03
X219	22.798	25.849	0.734	1.9372e-03
X219b	25.849	22.798	0.951	1.0670e-04
X220	24.822	23.182	0.723	1.4473e-03
X220b	23.182	24.822	0.912	1.4473e-03
X221	10.179	23.182	0.723	3.5834e-03
X221b	23.182	10.179	0.680	3.5834e-03
X222	14.668	23.182	0.723	3.5107e-02
X222b	23.182	14.668	0.682	3.5107e-02
X223	27.750	23.182	0.723	3.2164e-03
