label	C1	C2	H2	intensity
X311	15.030	22.090	0.510	1.7087e-03
X312	22.090	15.030	0.880	1.7087e-03
X313	22.410	22.090	0.510	2.7143e-03
X314	22.090	22.410	1.450	2.7143e-03
X315	18.230	22.090	0.510	2.2135e-03
X316	22.090	18.230	1.220	2.2135e-03
X317	14.270	19.360	1.190	5.5024e-03
X318	19.360	14.270	0.950	5.5024e-03
X319	18.230	19.360	1.190	1.3620e-02
X320	19.360	18.230	1.220	1.3620e-02
X321	20.970	12.800	0.170	1.0445e-03
X322	12.800	20.970	0.990	1.0445e-03
X323	22.520	12.800	0.170	1.0130e-03
X324	12.800	22.520	0.590	1.0130e-03
X325	19.790	12.800	0.170	4.7541e-03
X326	12.800	19.790	1.360	4.7541e-03
X327	25.150	12.800	0.170	1.3287e-02
X328	12.800	25.150	0.540	1.3287e-02
X329	24.630	12.800	0.170	4.6797e-03
X330	12.800	24.630	1.010	4.6797e-03
X331	22.410	12.800	0.170	5.3485e-03
X332	12.800	22.410	1.450	5.3485e-03
X333	14.270	12.800	0.170	1.7717e-03
X334	12.800	14.270	0.950	1.7717e-03
X335	26.060	12.800	0.170	1.0671e-03
X336	12.800	26.060	0.690	1.0671e-03
X337	26.020	12.800	0.170	1.0671e-03
X338	12.800	26.020	1.070	9.8015e-04
X339	25.150	20.970	0.990	1.3805e-03
X340	20.970	25.150	0.540	1.3805e-03
X341	25.690	26.430	0.570	9.0241e-01
X342	26.430	25.690	0.520	9.0241e-01
X343	23.120	26.430	0.570	3.2701e-03
X344	26.430	23.120	0.230	3.2701e-03
X345	19.790	26.430	0.570	1.2158e-03
X346	26.430	19.790	1.360	1.2158e-03
X347	10.260	26.430	0.570	1.4104e-03
X348	26.430	10.260	0.670	1.4104e-03
X349	20.580	26.430	0.570	9.3160e-04
X350	26.430	20.580	0.710	9.3160e-04
X351	26.020	26.430	0.570	1.2366e-02
X352	26.430	26.020	1.070	1.2366e-02
X353	24.390	26.430	0.570	1.0841e-02
X354	26.430	24.390	1.140	1.0841e-02
X355	19.920	26.430	0.570	4.7978e-02
X356	26.430	19.920	1.010	4.7978e-02
X357	24.590	26.430	0.570	5.1706e-03
X358	26.430	24.590	0.870	5.1706e-03
X359	26.800	26.430	0.570	8.6167e-04
X360	26.430	26.800	0.720	8.6167e-04
X361	23.120	25.690	0.520	1.1155e-03
X362	25.690	23.120	0.230	1.1155e-03
X363	26.020	25.690	0.520	7.3275e-03
X364	25.690	26.020	1.070	7.3275e-03
X365	24.390	25.690	0.520	1.3600e-02
X366	25.690	24.390	1.140	1.3600e-02
X367	28.240	25.690	0.520	1.6739e-03
X368	25.690	28.240	1.100	1.6739e-03
X369	19.230	25.690	0.520	7.4899e-04
X370	25.690	19.230	1.260	7.4899e-04
X371	19.920	25.690	0.520	1.9208e-02
X372	25.690	19.920	1.010	1.9208e-02
X373	24.590	25.690	0.520	1.0618e-01
X374	25.690	24.590	0.870	1.0618e-01
X375	26.800	25.690	0.520	5.1823e-03
X376	25.690	26.800	0.720	5.1823e-03
X377	18.250	23.120	0.230	3.0151e-03
X378	23.120	18.250	0.770	3.0151e-03
X379	21.480	23.120	0.230	3.5879e-03
X380	23.120	21.480	0.760	3.5879e-03
X381	21.090	23.120	0.230	5.5569e-02
X382	23.120	21.090	0.510	5.5569e-02
X383	20.580	23.120	0.230	1.3875e-02
X384	23.120	20.580	0.710	1.3875e-02
X385	21.340	23.120	0.230	1.3226e-02
X386	23.120	21.340	0.560	1.3226e-02
X387	19.730	23.120	0.230	7.4150e-04
X388	23.120	19.730	1.380	7.4150e-04
X389	19.920	23.120	0.230	6.5127e-02
X390	23.120	19.920	1.010	6.5127e-02
X391	12.760	23.120	0.230	1.6971e-03
